"CATRA Test ID","Stroke","Cut Depth (forward + back)","Blade ID"
578,38,0,"MDE-8-01"
579,39,0,"MDE-8-01"
580,40,0,"MDE-8-01"
581,41,0,"MDE-8-01"
582,42,0,"MDE-8-01"
583,43,0,"MDE-8-01"
584,44,0,"MDE-8-01"
585,45,0,"MDE-8-01"
586,46,0,"MDE-8-01"
587,47,0,"MDE-8-01"
588,48,0,"MDE-8-01"
589,49,0,"MDE-8-01"
590,50,0,"MDE-8-01"
591,51,0,"MDE-8-01"
592,52,0,"MDE-8-01"
593,53,0,"MDE-8-01"
594,54,0,"MDE-8-01"
595,55,0,"MDE-8-01"
596,56,0,"MDE-8-01"
597,57,0,"MDE-8-01"
598,58,0,"MDE-8-01"
599,59,0,"MDE-8-01"
600,60,0,"MDE-8-01"
601,1,26,"MER-23510-8"
602,2,17,"MER-23510-8"
603,3,15,"MER-23510-8"
604,4,13,"MER-23510-8"
605,5,10,"MER-23510-8"
606,6,9,"MER-23510-8"
607,7,9,"MER-23510-8"
608,8,8,"MER-23510-8"
609,9,6,"MER-23510-8"
610,10,6,"MER-23510-8"
611,11,6,"MER-23510-8"
612,12,6,"MER-23510-8"
613,13,5,"MER-23510-8"
614,14,5,"MER-23510-8"
615,15,5,"MER-23510-8"
616,16,5,"MER-23510-8"
617,17,4,"MER-23510-8"
618,18,4,"MER-23510-8"
619,19,3,"MER-23510-8"
620,20,4,"MER-23510-8"
621,21,3,"MER-23510-8"
622,22,3,"MER-23510-8"
623,23,3,"MER-23510-8"
624,24,3,"MER-23510-8"
625,25,3,"MER-23510-8"
626,26,3,"MER-23510-8"
627,27,3,"MER-23510-8"
628,28,3,"MER-23510-8"
629,29,3,"MER-23510-8"
630,30,3,"MER-23510-8"
631,31,3,"MER-23510-8"
632,32,3,"MER-23510-8"
633,33,2,"MER-23510-8"
634,34,2,"MER-23510-8"
635,35,2,"MER-23510-8"
636,36,2,"MER-23510-8"
637,37,2,"MER-23510-8"
638,38,2,"MER-23510-8"
639,39,2,"MER-23510-8"
640,40,2,"MER-23510-8"
641,41,2,"MER-23510-8"
642,42,2,"MER-23510-8"
643,43,1,"MER-23510-8"
644,44,1,"MER-23510-8"
645,45,1,"MER-23510-8"
646,46,1,"MER-23510-8"
647,47,1,"MER-23510-8"
648,48,0,"MER-23510-8"
649,49,0,"MER-23510-8"
650,50,0,"MER-23510-8"
651,51,0,"MER-23510-8"
652,52,0,"MER-23510-8"
653,53,1,"MER-23510-8"
654,54,0,"MER-23510-8"
655,55,0,"MER-23510-8"
656,56,0,"MER-23510-8"
657,57,0,"MER-23510-8"
658,58,0,"MER-23510-8"
659,59,0,"MER-23510-8"
660,60,0,"MER-23510-8"
661,1,41,"MIS-8-01"
662,2,27,"MIS-8-01"
663,3,21,"MIS-8-01"
664,4,18,"MIS-8-01"
665,5,16,"MIS-8-01"
666,6,14,"MIS-8-01"
667,7,15,"MIS-8-01"
668,8,12,"MIS-8-01"
669,9,12,"MIS-8-01"
670,10,10,"MIS-8-01"
671,11,11,"MIS-8-01"
672,12,10,"MIS-8-01"
673,13,9,"MIS-8-01"
674,14,8,"MIS-8-01"
675,15,8,"MIS-8-01"
676,16,8,"MIS-8-01"
677,17,8,"MIS-8-01"
678,18,8,"MIS-8-01"
679,19,7,"MIS-8-01"
680,20,7,"MIS-8-01"
681,21,6,"MIS-8-01"
682,22,6,"MIS-8-01"
683,23,6,"MIS-8-01"
684,24,6,"MIS-8-01"
685,25,6,"MIS-8-01"
686,26,5,"MIS-8-01"
687,27,5,"MIS-8-01"
688,28,5,"MIS-8-01"
689,29,4,"MIS-8-01"
690,30,4,"MIS-8-01"
691,31,4,"MIS-8-01"
692,32,4,"MIS-8-01"
693,33,4,"MIS-8-01"
694,34,4,"MIS-8-01"
695,35,4,"MIS-8-01"
696,36,4,"MIS-8-01"
697,37,4,"MIS-8-01"
698,38,4,"MIS-8-01"
699,39,4,"MIS-8-01"
700,40,4,"MIS-8-01"
701,41,4,"MIS-8-01"
702,42,3,"MIS-8-01"
703,43,4,"MIS-8-01"
704,44,3,"MIS-8-01"
705,45,3,"MIS-8-01"
706,46,3,"MIS-8-01"
707,47,3,"MIS-8-01"
708,48,3,"MIS-8-01"
709,49,3,"MIS-8-01"
710,50,2,"MIS-8-01"
711,51,3,"MIS-8-01"
712,52,2,"MIS-8-01"
713,53,3,"MIS-8-01"
714,54,2,"MIS-8-01"
715,55,2,"MIS-8-01"
716,56,2,"MIS-8-01"
717,57,2,"MIS-8-01"
718,58,2,"MIS-8-01"
719,59,2,"MIS-8-01"
720,60,2,"MIS-8-01"
721,1,29,"MIY-KAI-01"
